Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price
IndiGo,15/06/2019,Kolkata,,CCU → BLR,2h 45m,non-stop,No info,4804
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,14h,1 stop,No info,14067
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23h 50m,2 stops,No info,15129
Jet Airways,06/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,21h 40m,2 stops,No info,13376
Air India,,Delhi,Cochin,DEL → GOI → BOM → COK,21h 15m,2 stops,No info,10441
Jet Airways,24/05/2019,Banglore,Delhi,BLR → DEL,2h 45m,,In-flight meal not included,4030
Jet Airways,03/03/2019,Delhi,Cochin,DEL → BOM → COK,10h 50m,1 stop,No info,17024
Multiple carriers,09/04/2019,Delhi,Cochin,DEL → BOM → COK,8h,1 stop,,13017
GoAir,06/06/2019,Kolkata,Banglore,CCU → BOM → BLR,8h 15m,1 stop,No info,6686
IndiGo,15/06/2019,Delhi,Cochin,DEL → MAA → COK,5h 25m,1 stop,No info,5636
IndiGo,09/06/2019,Delhi,Cochin,,8h 35m,1 stop,No info,6442
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,11h 50m,1 stop,No info,9486
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,27h 35m,1 stop,In-flight meal not included,10844
Jet Airways,03/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,8h 25m,2 stops,In-flight meal not included,15318
Air India,03/04/2019,Delhi,Cochin,DEL → MAA → COK,20h 55m,1 stop,No info,5117
,24/06/2019,Delhi,Cochin,DEL → BLR → COK,4h 50m,1 stop,No info,6147
Multiple carriers,09/06/2019,Delhi,Cochin,DEL → BOM → COK,8h 10m,1 stop,No info,7005
SpiceJet,03/04/2019,Kolkata,Banglore,CCU → BLR,2h 20m,non-stop,No info,3873
,21/03/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,24h 25m,2 stops,In-flight meal not included,9270
GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,3898
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 20m,1 stop,No info,14781
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 15m,1 stop,In-flight meal not included,8586
Air India,09/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,23h 35m,2 stops,No info,10697
Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,16h 35m,2 stops,No info,
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,2h 50m,non-stop,No info,8855
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,25h 45m,1 stop,In-flight meal not included,10844
Jet Airways,06/03/2019,Delhi,Cochin,DEL → BOM → COK,26h 10m,1 stop,No info,17024
Jet Airways,01/05/2019,Kolkata,Banglore,CCU → DEL → BLR,28h 50m,1 stop,,9314
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,2h 45m,non-stop,No info,4777
Air India,09/06/2019,Kolkata,Banglore,CCU → BBI → BLR,25h 15m,1 stop,No info,7662
IndiGo,09/05/2019,Delhi,Cochin,DEL → HYD → COK,9h 20m,1 stop,No info,6442
SpiceJet,12/06/2019,Delhi,Cochin,DEL → PNQ → COK,4h 30m,1 stop,No info,5264
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,15h 25m,1 stop,In-flight meal not included,12898
Air India,03/03/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,6092
SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,2h 40m,non-stop,No info,3311
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,9h 10m,1 stop,In-flight meal not included,6540
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,3419
Jet Airways,03/04/2019,Delhi,Cochin,DEL → BOM → COK,22h 35m,1 stop,In-flight meal not included,5177
Air India,18/04/2019,Delhi,Cochin,DEL → COK,3h 5m,non-stop,No info,8246
Jet Airways,,Kolkata,Banglore,CCU → DEL → BLR,11h 30m,1 stop,No info,14676
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,9h 30m,1 stop,No info,13587
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 10m,1 stop,In-flight meal not included,9663
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,,1 stop,No info,13044
IndiGo,03/04/2019,Delhi,Cochin,DEL → BOM → COK,5h 5m,1 stop,No info,5073
Vistara,21/05/2019,Kolkata,,CCU → DEL → BLR,25h 50m,1 stop,No info,9345
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20h,1 stop,In-flight meal not included,9663
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,13h,1 stop,No info,14277
Jet Airways,01/06/2019,Delhi,Cochin,DEL → BOM → COK,18h 25m,1 stop,,10262
Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,9h 30m,1 stop,No info,13727
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16h,1 stop,In-flight meal not included,9663
IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,2h 20m,,No info,
,24/06/2019,Delhi,Cochin,DEL → PNQ → COK,4h 30m,1 stop,No info,4812
IndiGo,27/06/2019,Delhi,Cochin,DEL → LKO → COK,5h 45m,1 stop,No info,5775
Jet Airways,06/06/2019,Kolkata,Banglore,CCU → DEL → BLR,24h 10m,1 stop,In-flight meal not included,10539
IndiGo,03/06/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No info,4804
Air Asia,12/06/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,3383
IndiGo,03/03/2019,Banglore,New Delhi,BLR → HYD → DEL,4h 55m,1 stop,No info,8738
Air India,27/03/2019,Delhi,Cochin,DEL → TRV → COK,25h 35m,1 stop,No info,7165
IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,6h 20m,1 stop,No info,6412
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,3h 5m,non-stop,No info,8016
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18h 40m,1 stop,In-flight meal not included,11087
SpiceJet,27/06/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,,3543
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 10m,1 stop,No info,12471
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19h 25m,1 stop,In-flight meal not included,10262
Air India,18/03/2019,Banglore,New Delhi,,2h 50m,non-stop,No info,4441
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,8h 25m,1 stop,No info,
GoAir,24/03/2019,Kolkata,,CCU → BOM → BLR,9h 15m,1 stop,,10091
Air India,03/06/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,
IndiGo,24/04/2019,Delhi,Cochin,DEL → COK,3h 15m,non-stop,No info,5013
Air India,18/05/2019,Delhi,Cochin,DEL → COK,2h 50m,non-stop,No info,6934
Multiple carriers,03/06/2019,Delhi,Cochin,DEL → BOM → COK,12h 20m,1 stop,No info,10877
Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,7229
IndiGo,27/03/2019,,Cochin,DEL → BOM → COK,9h 35m,1 stop,No info,7048
Vistara,27/06/2019,Banglore,Delhi,BLR → DEL,2h 35m,,No info,4878
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,9h 30m,1 stop,In-flight meal not included,10844
Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,29h 20m,2 stops,No info,15129
IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,3943
SpiceJet,06/06/2019,Delhi,Cochin,DEL → MAA → COK,5h 15m,1 stop,No info,5583
Multiple carriers,06/06/2019,Delhi,Cochin,DEL → HYD → COK,9h 5m,1 stop,No info,9646
Multiple carriers,03/06/2019,Delhi,Cochin,DEL → BOM → COK,10h 45m,1 stop,No info,7677
IndiGo,01/06/2019,Delhi,Cochin,,4h 55m,1 stop,No info,6842
Jet Airways,,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,In-flight meal not included,4995
Vistara,09/06/2019,Kolkata,Banglore,CCU → DEL → BLR,11h 40m,1 stop,No info,9555
IndiGo,01/06/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,4077
Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,7229
Multiple carriers,09/06/2019,Delhi,Cochin,DEL → BOM → COK,10h,1 stop,No info,12192
Air India,12/04/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,,5911
Air India,12/06/2019,Delhi,,DEL → BOM → COK,10h 15m,1 stop,No info,8372
,18/03/2019,Mumbai,Hyderabad,BOM → HYD,1h 25m,non-stop,In-flight meal not included,4995
Multiple carriers,09/05/2019,Delhi,Cochin,DEL → BOM → COK,9h 15m,1 stop,No info,14323
Jet Airways,09/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,22h 55m,2 stops,No info,13014
Air India,06/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,28h 50m,2 stops,No info,13591
,03/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,37h 25m,2 stops,No info,18799
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,3943
SpiceJet,21/05/2019,Mumbai,Hyderabad,BOM → HYD,,non-stop,No check-in baggage included,1965
Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,In-flight meal not included,4995
Air India,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,25h 40m,1 stop,No info,14641
Air India,12/04/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No info,4460
Air India,18/05/2019,Delhi,Cochin,DEL → BOM → COK,6h 15m,1 stop,No info,10191
Jet Airways,09/03/2019,Delhi,Cochin,DEL → BOM → COK,17h 30m,1 stop,In-flight meal not included,13843
IndiGo,01/05/2019,Delhi,Cochin,DEL → LKO → COK,5h 45m,1 stop,No info,
Air Asia,01/05/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No info,4409
Jet Airways,06/03/2019,Delhi,Cochin,DEL → BOM → COK,25h 30m,1 stop,No info,17024
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13h 55m,1 stop,No info,13727
IndiGo,15/03/2019,Banglore,New Delhi,BLR → DEL,2h 55m,non-stop,No info,8855
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10h 15m,1 stop,No info,12524
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,8h 40m,1 stop,,13555
Jet Airways,06/06/2019,Kolkata,Banglore,CCU → BOM → BLR,5h 30m,1 stop,In-flight meal not included,10844
Multiple carriers,09/06/2019,Delhi,Cochin,DEL → BOM → COK,12h,1 stop,No info,13587
SpiceJet,12/06/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No check-in baggage included,3543
Vistara,18/03/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,4842
IndiGo,24/04/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,
Jet Airways,09/06/2019,Delhi,Cochin,DEL → BOM → COK,9h 10m,1 stop,In-flight meal not included,10577
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10h 25m,1 stop,No info,6979
Vistara,27/06/2019,Chennai,Kolkata,MAA → CCU,2h 20m,non-stop,No info,11982
SpiceJet,06/06/2019,Delhi,Cochin,DEL → PNQ → COK,4h 30m,1 stop,No info,5264
Vistara,03/03/2019,Delhi,Cochin,DEL → COK,3h 10m,non-stop,No info,8001
Air India,01/06/2019,,Cochin,DEL → AMD → BOM → COK,23h 30m,2 stops,No info,10651
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,27h 20m,1 stop,In-flight meal not included,10844
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → HYD → COK,12h 35m,1 stop,No info,6601
Air India,21/03/2019,Delhi,Cochin,DEL → BOM → COK,24h 15m,1 stop,No info,6587
SpiceJet,21/03/2019,Mumbai,Hyderabad,BOM → HYD,1h 20m,non-stop,No info,3173
Air India,09/05/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,5228
Jet Airways,21/06/2019,Banglore,Delhi,BLR → DEL,3h,non-stop,In-flight meal not included,5769
Jet Airways,,Delhi,Cochin,DEL → BOM → COK,11h,1 stop,No info,14714
,03/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,13h 30m,2 stops,No info,13014
IndiGo,03/06/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,,3359
GoAir,03/03/2019,Banglore,New Delhi,BLR → DEL,2h 55m,non-stop,No info,6722
IndiGo,18/03/2019,Kolkata,Banglore,CCU → BLR,,non-stop,No info,4462
IndiGo,09/03/2019,Delhi,Cochin,DEL → HYD → COK,11h 15m,1 stop,No info,6171
Air India,21/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,14h 35m,2 stops,No info,12303
Multiple carriers,21/03/2019,Delhi,,DEL → BOM → COK,13h 55m,1 stop,No info,7695
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,14h 5m,1 stop,No info,5684
Air India,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,15h 5m,1 stop,No info,8366
Air India,01/03/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,19630
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,15h,1 stop,In-flight meal not included,13502
Jet Airways,01/05/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 55m,1 stop,No info,14781
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → HYD → COK,9h,1 stop,No info,
Air India,01/06/2019,Delhi,Cochin,DEL → BOM → COK,12h 15m,1 stop,No info,9929
